,ts,code,method,isPractical,majorForCourse,fstMajor,secMajor,status,gender,enterDate,m_suitable,m_comfort,m_feedback,m_boring,m_valuable,m_selfEval,m_satisfaction,m_helpful,m_timeManage,m_ta,m_share,m_discuss,m_activity,m_concentrate,m_sameMethod,emo_miss,emo_isolated,emo_anx,emo_worse,emo_meet,emo_relationship,emo_optim,cop_music,cop_walk,cop_media,cop_creative,cop_sports,cop_game,cop_sns,cop_talk,cop_sleep,cop_drink,cop_alcohol,cop_group,covidClassType,live_home,live_library,live_cafe,live_bus,rec_home,rec_library,rec_cafe,rec_bus,env_home,env_tool,env_platform,env_disturb,env_library,env_cafe,env_group,env_alone
72,2022-02-23 19:35:16.764,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,"Live Online , Pre-recorded lectures",Mostly true,A little true,A little true,Not at all true,Mostly true,A little true,Sometimes true,Not at all true,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree
73,2022-02-23 19:35:49.894,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,STEM,Business/economics related,Full time student in South Korea,Female,I started university in 2020 or later.,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Mostly true,Sometimes true,Sometimes true,A little true,Mostly true,Mostly true,Mostly true,A little true,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree
74,2022-02-23 19:35:52.498,SWE3011,Prerecorded lectures,No,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university in 2020 or later.,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,"Pre-recorded lectures , Offline",None,None,None,None,Mostly true,Mostly true,A little true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree
75,2022-02-23 19:36:12.648,DSC3002,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,Mostly true,A little true,A little true,Very true,Very true,Mostly true,Sometimes true,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
76,2022-02-23 19:36:19.724,AAI3011,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,"Live Online , Pre-recorded lectures",Sometimes true,Sometimes true,Sometimes true,Not at all true,A little true,Mostly true,A little true,Not at all true,Disagree,Strongly Agree,Agree,Strongly disagree,Agree,Agree,Neutral,Strongly Agree
77,2022-02-23 19:36:28.422,AAI2003,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,"Live Online , Pre-recorded lectures",Very true,A little true,A little true,Not at all true,Mostly true,Mostly true,A little true,Not at all true,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree
78,2022-02-23 19:36:46.130,DSC3024,Prerecorded lectures,Yes,Library and Information Science,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Disagree,Neutral,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,A little true,Mostly true,Not at all true,Very true,Mostly true,A little true,Not at all true,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly disagree,Strongly disagree
79,2022-02-23 19:36:46.316,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,"Live Online , Pre-recorded lectures , Offline",Mostly true,Sometimes true,Sometimes true,Not at all true,Mostly true,Sometimes true,Sometimes true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Disagree,Disagree
80,2022-02-23 19:37:33.505,SWE2023,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Neutral,"Live Online , Pre-recorded lectures",Very true,Sometimes true,A little true,Not at all true,Sometimes true,Mostly true,Very true,A little true,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
81,2022-02-23 19:38:05.433,DSC2005,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Social Science,Full time student in South Korea,Female,I started university in 2020 or later.,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Sometimes true,Sometimes true,Not at all true,Very true,Sometimes true,Sometimes true,Not at all true,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
82,2022-02-23 19:38:13.122,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly disagree,Agree,"Live Online , Pre-recorded lectures",Very true,A little true,Very true,A little true,Very true,Very true,Very true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly Agree
83,2022-02-23 19:38:13.473,CLA3108,Live Online,No,Data science/AI/CS/Computing-related,STEM,None,Visiting student from abroad  semesters,Male,I started university BEFORE 2020.,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,"Live Online , Pre-recorded lectures",Very true,Not at all true,Not at all true,Not at all true,Very true,Not at all true,Not at all true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree
84,2022-02-23 19:38:31.181,DSC3032,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,"Live Online , Pre-recorded lectures , Offline",Mostly true,Mostly true,Mostly true,Not at all true,Sometimes true,Mostly true,Mostly true,Not at all true,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree
85,2022-02-23 19:38:58.808,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Strongly Agree,Neutral,Strongly disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,A little true,Mostly true,Not at all true,Sometimes true,Very true,Very true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly disagree
86,2022-02-23 19:39:08.461,DSC3033,Offline,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Pre-recorded lectures,None,None,None,None,Mostly true,Mostly true,Mostly true,Not at all true,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree
87,2022-02-23 19:39:14.417,AAI2012,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university in 2020 or later.,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures , Offline",Very true,Not at all true,A little true,Not at all true,Very true,Sometimes true,Mostly true,A little true,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Strongly disagree
88,2022-02-23 19:39:18.037,SWE3011,Live Online,No,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,"Live Online , Pre-recorded lectures",Very true,Sometimes true,Sometimes true,Not at all true,Very true,Very true,Very true,Not at all true,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree
89,2022-02-23 19:40:25.703,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures",Very true,Not at all true,Not at all true,Not at all true,Very true,Not at all true,Not at all true,Not at all true,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree
90,2022-02-23 19:40:36.794,AAI3011,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Sometimes true,A little true,Mostly true,Not at all true,A little true,Sometimes true,Sometimes true,Mostly true,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly disagree
91,2022-02-23 19:41:07.265,DSC3032,Offline,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Very true,A little true,A little true,Very true,Very true,Sometimes true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly disagree
92,2022-02-23 19:41:14.377,AAI2008,Prerecorded lectures,No,Data science/AI/CS/Computing-related,STEM,Mathematics/Statistics,Full time student in South Korea,Female,I started university in 2020 or later.,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Disagree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Mostly true,Not at all true,Sometimes true,Not at all true,Mostly true,Mostly true,Sometimes true,A little true,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree
93,2022-02-23 19:41:18.413,DSC3032,Prerecorded lectures,No,Data science/AI/CS/Computing-related,Hybrid/Unclear,Mathematics/Statistics,Full time student in South Korea,Female,I started university BEFORE 2020.,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,"Pre-recorded lectures , Offline , Flipped course",Very true,Very true,Very true,Not at all true,Very true,Very true,Very true,Not at all true,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly disagree
94,2022-02-23 19:42:48.738,AAI3006,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Other,Male,I started university BEFORE 2020.,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,"Live Online , Flipped course",Very true,Not at all true,Not at all true,A little true,None,None,None,None,Strongly disagree,Agree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
95,2022-02-23 19:46:01.351,ECO3001,Flipped course,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Not at all true,Very true,Not at all true,Sometimes true,Very true,Mostly true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree
96,2022-02-23 19:50:57.712,AAI2009,Prerecorded lectures,No,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Mostly true,Sometimes true,Very true,A little true,Mostly true,Sometimes true,Very true,A little true,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly disagree
97,2022-02-23 19:52:49.376,WIS5019,Offline,No,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university in 2020 or later.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Very true,A little true,A little true,Very true,Very true,A little true,A little true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
98,2022-02-23 20:09:16.289,CNT3002,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,"Live Online , Pre-recorded lectures , Flipped course",Sometimes true,Sometimes true,Sometimes true,A little true,Very true,Very true,Very true,Very true,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly disagree
99,2022-02-25 13:45:31.265,CLA3108,Flipped course,No,General,Hybrid/Unclear,Literature & Language,Visiting student from abroad  semesters,Female,I started university BEFORE 2020.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Live Online,Very true,A little true,Mostly true,A little true,Mostly true,Mostly true,Mostly true,Mostly true,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
100,2022-02-25 13:47:52.097,CLA3108,Flipped course,No,General,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,"Live Online , Pre-recorded lectures , Flipped course",A little true,None,None,None,Mostly true,Not at all true,Mostly true,Not at all true,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral
101,2022-02-25 13:50:50.366,CLA3108,Flipped course,No,General,HASS,Business/economics related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,"Live Online , Pre-recorded lectures",Sometimes true,Mostly true,Not at all true,Not at all true,Very true,Very true,Sometimes true,Not at all true,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
102,2022-02-25 13:51:56.133,GEDI001,Prerecorded lectures,Yes,General,HASS,None,Full time student in South Korea,Male,I started university in 2020 or later.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,Sometimes true,Sometimes true,Not at all true,Very true,Very true,Very true,Sometimes true,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree
103,2022-02-25 13:52:41.559,DSC2004,Prerecorded lectures,Yes,Data science/AI/CS/Computing-related,HASS,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,"Live Online , Pre-recorded lectures",Mostly true,Mostly true,Mostly true,Not at all true,Mostly true,Mostly true,Mostly true,A little true,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral
104,2022-02-26 10:27:47.062,DKL3002,Prerecorded lectures,No,Education or education-related,HASS,None,Full time student in South Korea,Female,I started university in 2020 or later.,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures",Very true,Sometimes true,A little true,Not at all true,Very true,Very true,Very true,Not at all true,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly disagree,Agree
105,2022-02-27 15:20:08.673,ANTH326,Live Online,No,Social Science,HASS,Data science/AI/CS/Computing-related,Other,Female,I started university BEFORE 2020.,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,"Live Online , Pre-recorded lectures , Offline",Very true,A little true,A little true,A little true,Very true,Very true,Very true,Not at all true,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
106,2022-03-23 17:34:09.210,BIZ2022,Prerecorded lectures,No,Business/economics related,Hybrid/Unclear,None,Full time student in South Korea,Female,I started university in 2020 or later.,Neutral,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,"Live Online , Pre-recorded lectures , Offline",Very true,Sometimes true,A little true,Not at all true,Very true,Sometimes true,Mostly true,Not at all true,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly Agree
107,2022-03-23 17:39:19.713,CLA3108,Flipped course,No,General,HASS,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Live Online , Pre-recorded lectures",A little true,Sometimes true,Mostly true,Very true,Not at all true,A little true,Sometimes true,Mostly true,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
